id,type,prompt,tokens,answers,is_hard,comment
2284,gapFillLetter,,"[{""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""п"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""ш"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 7758, ""text"": ""е"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2284}, {""id"": 7757, ""text"": ""и"", ""isCorrect"": true, ""index"": 1, ""task_id"": 2284}, {""id"": 7759, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2284}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2285,gapFillLetter,,"[{""text"": ""н"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 7761, ""text"": ""ы"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2285}, {""id"": 7760, ""text"": ""и"", ""isCorrect"": true, ""index"": 1, ""task_id"": 2285}, {""id"": 7762, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2285}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2286,gapFillLetter,,"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}]","[{""id"": 7763, ""text"": ""я"", ""isCorrect"": true, ""index"": 1, ""task_id"": 2286}, {""id"": 7766, ""text"": ""и"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2286}, {""id"": 7765, ""text"": ""ю"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2286}, {""id"": 7764, ""text"": ""е"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2286}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2287,gapFillLetter,,"[{""text"": ""к"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""ж"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 7767, ""text"": ""а"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2287}, {""id"": 7769, ""text"": ""ю"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2287}, {""id"": 7768, ""text"": ""у"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2287}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2288,gapFillLetter,{task_text} (пыль),"[{""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""ю"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 7773, ""text"": ""у"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2288}, {""id"": 7772, ""text"": ""ё"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2288}, {""id"": 7770, ""text"": ""я"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2288}, {""id"": 7771, ""text"": ""ю"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2288}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2289,gapFillLetter,{task_text} (предмета),"[{""text"": ""к"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""ю"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""г"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 7775, ""text"": ""я"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2289}, {""id"": 7774, ""text"": ""у"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2289}, {""id"": 7777, ""text"": ""ю"", ""isCorrect"": true, ""index"": 4, ""task_id"": 2289}, {""id"": 7776, ""text"": ""ё"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2289}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2290,gapFillLetter,,"[{""text"": ""х"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 7780, ""text"": ""у"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2290}, {""id"": 7779, ""text"": ""а"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2290}, {""id"": 7778, ""text"": ""ю"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2290}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2291,gapFillLetter,,"[{""text"": ""д"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""б"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": true}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 7781, ""text"": ""ю"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2291}, {""id"": 7783, ""text"": ""и"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2291}, {""id"": 7782, ""text"": ""е"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2291}, {""id"": 7784, ""text"": ""ё"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2291}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2292,gapFillLetter,,"[{""text"": ""ж"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""ж"", ""isBlank"": false}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 7786, ""text"": ""ю"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2292}, {""id"": 7787, ""text"": ""у"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2292}, {""id"": 7785, ""text"": ""а"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2292}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
2293,gapFillLetter,{task_text} (конфету),"[{""text"": ""к"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ч"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 7789, ""text"": ""у"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2293}, {""id"": 7791, ""text"": ""о"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2293}, {""id"": 7790, ""text"": ""а"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2293}, {""id"": 7788, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2293}]",False,Объяснения в разработке. Но уже скоро тут появятся =)
