id,type,prompt,tokens,answers,is_hard,comment
1998,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6723, ""text"": ""ю"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1998}, {""id"": 6724, ""text"": ""и"", ""isCorrect"": false, ""index"": 2, ""task_id"": 1998}, {""id"": 6726, ""text"": ""е"", ""isCorrect"": true, ""index"": 4, ""task_id"": 1998}, {""id"": 6725, ""text"": ""ё"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1998}]",False,"Суффикс -еньк- пишется, потому что варианта -иньк- нет в русском языке.  (Правило орфографии)."
1999,gapFillLetter,,"[{""text"": ""т"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6727, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1999}, {""id"": 6728, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1999}, {""id"": 6729, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1999}]",False,"В прилагательном «талантливый» пишем И, поскольку существует суффикс -лив-, а -лев- отсутствует.  (Корень - талант-)."
2000,gapFillLetter,,"[{""text"": ""э"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6730, ""text"": ""е"", ""isCorrect"": true, ""index"": 1, ""task_id"": 2000}, {""id"": 6732, ""text"": ""ю"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2000}, {""id"": 6733, ""text"": ""и"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2000}, {""id"": 6731, ""text"": ""ё"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2000}]",False,"В прилагательном «эмалевый»  (корень -эмал-) буква Е в суффиксе -ев- пишется потому, что ударение падает на корень."
2001,gapFillLetter,,"[{""text"": ""м"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6736, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2001}, {""id"": 6734, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2001}, {""id"": 6735, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2001}]",False,"В прилагательном «игривый» пишется И, так как это исключение из правила правописания суффикса -ИВ-.  Запомните его!"
2002,gapFillLetter,,"[{""text"": ""в"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""п"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 6738, ""text"": ""ы"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2002}, {""id"": 6737, ""text"": ""и"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2002}, {""id"": 6739, ""text"": ""а"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2002}]",False,"(Глагол 1-го лица единственного числа — «воспитываю»).  Суффикс -ЫВА- сохраняется, значит, в неопределённой форме пишем «воспитывать»."
2003,gapFillLetter,,"[{""text"": ""г"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""ш"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}]","[{""id"": 6742, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2003}, {""id"": 6741, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2003}, {""id"": 6740, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2003}]",False,"Существительное «горошинка» пишется с -инк-,  по аналогии со словом «горошина» (суффикс -ин- + -к-).  Запомнить проще, выделяя -инк-."
2004,gapFillLetter,,"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""ё"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""г"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 6744, ""text"": ""е"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2004}, {""id"": 6743, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2004}, {""id"": 6745, ""text"": ""и"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2004}]",False,"Деепричастие от ""передёргивать"".  Суффикс -ИВА- сохраняется (как в ""передёргиваю""), значит пишем ""передёргивая""."
2005,gapFillLetter,,"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""ч"", ""isBlank"": false}, {""text"": ""ё"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 6748, ""text"": ""и"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2005}, {""id"": 6746, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2005}, {""id"": 6747, ""text"": ""е"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2005}]",False,"В глаголе 1-го лица единственного числа (""подчёркиваю"")  суффикс -ИВА- сохраняется.  Следовательно,  в неопределённой форме пишем ""подчёркивать""."
2006,gapFillLetter,,"[{""text"": ""я"", ""isBlank"": false}, {""text"": ""б"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6750, ""text"": ""ю"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2006}, {""id"": 6752, ""text"": ""и"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2006}, {""id"": 6751, ""text"": ""е"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2006}, {""id"": 6749, ""text"": ""ё"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2006}]",False,В прилагательном суффикс -ЕВ-  (без ударения) пишется с буквой Е.
2007,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": true}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 6756, ""text"": ""ё"", ""isCorrect"": false, ""index"": 4, ""task_id"": 2007}, {""id"": 6754, ""text"": ""е"", ""isCorrect"": true, ""index"": 2, ""task_id"": 2007}, {""id"": 6753, ""text"": ""ю"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2007}, {""id"": 6755, ""text"": ""и"", ""isCorrect"": false, ""index"": 3, ""task_id"": 2007}]",False,В прилагательном суффикс -ЕВ-  (без ударения) пишется с буквой Е.
